,artist,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
0,Eminem,Lose Yourself - Soundtrack Version,=,=,=,=,=,=,=,=,=,=,=,=,-6.124626439375013,1.178050285701572
1,Big Sean,Bezerk (feat. A$AP Ferg),+,+,+,=,-,=,+,+,-,+,+,+,45.697048430599125,14.542495676268594
2,Plies,Come By Yo House,-,-,+,=,-,=,+,-,-,+,+,+,-16.205061148030815,6.9672636994649055
3,JVLA,Such a Whore (Stellular Remix),+,+,+,=,-,=,-,+,+,-,+,+,55.90443722466518,-0.48008147219157693
4,Insolence,We Want a Revolution,-,+,+,=,-,=,-,+,-,-,+,+,-17.10537351702288,-0.30775094612889176
5,Olivia O'Brien,Josslyn - Radio Edit,+,-,+,=,-,=,+,+,-,+,+,+,12.892938757114196,-0.006761562814579837
6,Hopsin,Hip Hop Sinister,+,+,+,=,-,=,+,+,-,-,+,+,11.741445004823145,11.06526421938862
7,Gia Koka,cry baby,+,+,+,=,-,=,-,+,-,+,+,+,22.80935474657052,6.207895688279489
8,DMX,The Professional - Album Version (Edited),+,+,+,=,-,=,+,+,-,-,+,+,-12.29198798909889,13.308667070169642
9,Dalex,Mejor,+,+,+,=,-,=,+,+,-,-,+,+,27.81739950590488,5.665281539640367
10,NCT DREAM,Bye My First…,+,+,+,=,-,=,-,+,-,+,+,+,28.755501503814003,10.113718543480944
11,Landon Cube,Makeup,-,+,+,=,-,=,-,+,-,-,+,+,-15.102371025364107,-0.4477976934596786
12,Sum 41,Sick Of Everyone,+,-,+,=,-,=,+,-,+,+,+,+,14.781752719110393,8.087860198766931
13,Ace Hood,Get Em Up - Album Version (Edited),-,+,+,=,-,=,-,+,-,+,+,+,-22.942604315357737,-12.224524335797739
14,The Wanted,Everybody Knows,-,+,+,=,-,=,-,+,-,+,+,+,-21.816222337242298,-21.395296127007352
15,Chris Cagle,When Will My Lover Come Around,-,+,+,=,-,=,-,+,-,+,+,+,-20.24003637842015,9.478910369662328
16,Rihanna,Talk That Talk - Album Version (Edited),+,+,+,=,-,=,-,+,+,-,+,+,12.91972296932046,-1.8891475797849115
17,Tonight Alive,My Underworld (Feat. Corey Taylor),+,-,+,=,-,=,-,+,-,-,+,+,15.758896180961202,9.851736196108597
18,5 Seconds of Summer,Social Casualty,+,+,+,=,-,=,-,-,-,+,+,+,22.892572132537666,0.087015798987482
19,Lawson,Where My Love Goes,-,+,+,=,-,=,-,+,-,+,+,+,-14.969100141661869,-10.24723100511484
20,Futuristic,So Crazy,-,-,+,=,-,=,+,+,-,+,+,+,-18.189912570014357,5.858105966108794
21,5 Seconds of Summer,18,+,-,+,=,-,=,+,-,+,+,+,+,25.026488311043373,-9.656811945697646
22,Take That,Rule The World - Radio Edit,-,-,+,=,-,=,-,+,-,+,+,+,-13.023681088488836,-6.241363779990691
23,Dan + Shay,When I Pray for You,+,-,+,=,-,=,-,+,-,-,+,+,30.975439849055373,-5.8764196844299414
