,artist,song_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
0,RuPaul,Hi Pit Crew (Interlude),=,=,=,=,=,=,=,=,=,=,=,-10.815844827290645,-0.4467472369175705
1,Kurupt,Smokestra,-,+,+,=,-,-,+,=,-,+,+,-15.470842470900442,1.5487512279162456
2,Diddy,Hold Up (feat. Angela Hunte),-,+,+,+,-,-,+,=,-,+,+,-11.843371113590296,20.17397945235433
3,Pop Smoke,Foreigner (feat. A Boogie Wit da Hoodie),+,+,+,=,-,-,+,=,-,+,+,49.02666512648521,-12.588719115038774
4,Amy Dondy,More,-,+,+,+,-,+,+,=,+,+,+,-19.362220204710688,-9.888308084613358
5,Martina McBride,I Don't Hurt Anymore,+,+,+,+,-,-,+,=,-,+,+,-4.381102771208932,8.794355369095422
6,Futuristic,Weekend,+,+,+,+,-,-,-,=,-,+,+,-0.41096358746461426,8.179987648134526
7,Plies,Where He At,+,+,+,=,-,+,-,=,+,+,+,-13.103379310200713,-1.3552468270808433
8,Jon Bellion,Dead Man Walking,+,+,+,+,-,-,+,=,-,+,+,35.832448659675265,0.6024612218948822
9,Eric Bellinger,Up In It,+,+,+,+,-,-,-,=,+,+,+,-14.697500771212907,-7.725469803167431
10,XTC,Yacht Dance - Live On 'The Old Grey Whistle Test',-,+,+,+,-,-,+,=,+,+,+,-13.502430924843088,9.418671392226141
11,The Crickets,Oh Boy! - Single Version,+,+,+,+,-,-,+,=,-,+,+,9.072941521473558,4.891376825567751
12,Louis Armstrong,Copenhagen,+,+,+,=,-,-,+,+,+,+,+,-2.9031616478814755,-5.89774791722093
13,of Montreal,Inside a Room Full of Treasures a Black Pygmy Horse's Head Pops Up Like a Periscope,+,-,+,+,-,-,+,=,+,+,+,-13.975712675182091,-8.95690871436409
14,Darts,My True Story,-,+,+,=,-,-,+,+,+,+,+,-14.81366980140152,0.05683081477148559
15,George Jones,No Money in This Deal - Remastered,-,+,+,+,-,-,+,+,-,+,+,-18.57055128733109,-6.721139601106677
16,Eric Clapton,When Somebody Thinks You're Wonderful,+,+,+,+,-,-,+,+,-,+,+,3.9055906378231393,-15.772256758838447
17,The Righteous Brothers,Something You Got - Single Version,-,+,+,+,-,-,+,=,+,+,+,-12.490802512105423,9.344396114108486
18,Doc Watson,Corrina,+,+,+,+,-,-,+,+,+,+,+,-0.38582212287672846,-12.320253749029282
19,Frank Zappa,"Dickie's Such An Asshole - Live In Chicago, 10/31/1973, Show 2",+,+,+,+,-,-,+,=,+,+,+,-14.935707289496728,-12.79756335820981
20,Diddy,Victory (feat. The Notorious B.I.G. & Busta Rhymes),+,+,+,+,-,-,-,=,+,+,+,43.226168992188484,1.314621431644846
21,Naughty By Nature,We Could Do It (feat. Big Pun),+,+,+,+,-,-,-,=,+,+,+,24.237664759714946,3.6961124280753106
22,Sara Bareilles,Fire,+,+,+,=,-,-,+,+,-,-,+,32.719153279646164,-11.847575176754836
23,Steven Pasquale,"If It Hadn't Been (Reprise), Pt. 2",-,+,+,+,-,-,+,=,-,+,+,-19.23193603079349,-5.2468926682319665
24,FINNEAS,Landmine - Aire Atlantica Remix,+,+,+,+,-,-,+,+,-,+,+,9.461089023177022,6.43906553762767
25,Robert Luke Harshman,Love Whatcha Doin To Me,-,+,+,+,-,-,+,+,-,+,+,-21.19333546980684,-8.963817013959185
26,Willie Colón,Dime,+,+,+,+,-,-,+,+,+,+,+,27.603420724968416,0.6723629302701213
27,Bobby Darin,I Think The Devil Must Be Beating His Wife,+,+,+,=,-,-,+,+,+,+,+,-12.057136887356364,-1.2868363115805268
28,The Osborne Brothers,Lonesome Day,-,+,+,=,-,-,+,+,-,+,+,-14.591085482057325,0.9478438954643068
29,Glitterbox Radio,Episode 007 Intro - Mixed,-,-,+,+,-,+,-,=,-,+,+,-10.924951874084513,32.08661099212924
30,The Kills,Rodeo Town,+,+,+,+,-,-,+,+,-,+,+,0.6531017971018428,-12.293384684809846
