,artist,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
0,Rick Astley,Never Gonna Give You Up,=,=,=,=,=,=,=,=,=,=,=,=,-17.49541788,-5.06971781
1,Uncle Kracker,Good to Be Me,-,+,+,=,-,=,-,-,-,+,+,+,-20.55591582,-4.808760677
2,Block B,NalinA,+,+,+,=,-,=,+,-,-,-,+,+,26.89800384,2.482968635
3,Lil Silvio & El Vega,Tienes La Magia,-,+,+,+,-,=,+,-,-,+,+,+,-19.9708033,-16.88603227
4,MÃ¼nchner Zwietracht,Schifoan,-,=,+,+,-,=,+,+,-,+,+,+,-19.32245608,-21.80019394
5,Miike Snow,My Trigger,+,+,+,+,-,=,+,+,-,-,+,+,30.95411652,-12.97254992
6,Suga Free,Fu** Wit You,+,+,+,=,-,=,+,+,-,-,+,+,-0.718965722,-2.258883265
7,Brian Wilson,Night Time - Remastered Version,+,+,+,+,-,=,-,+,-,+,+,+,-11.35635103,9.558684864
8,Matt Nathanson,Modern Love,+,+,+,=,-,=,-,-,-,-,+,+,14.66251314,-4.162316861
9,Dwight Yoakam,An Exception to the Rule,+,+,+,+,-,=,-,+,-,+,+,+,-4.579659077,-18.87129029
10,Collin Raye,Stuck in the Middle With You,+,+,+,+,-,=,-,+,-,+,+,+,-16.82172407,12.75560033
11,Foster The People,Houdini,+,+,+,=,-,=,+,-,+,-,+,+,46.38625285,0.031072096
12,The Antonelli Orchestra,September,-,+,+,+,-,=,-,-,-,+,+,+,-22.24249832,7.972679829
13,Colt Ford,Washed in the Mud (feat. Randy Houser),+,+,+,+,-,=,+,-,-,-,+,+,-0.48511214,-19.31945907
14,Barry Manilow,Come Monday,+,+,+,+,-,=,+,-,+,-,+,+,-14.49486368,-20.16764304
15,Victorious Cast,Don't You (Forget About Me),+,+,+,=,-,=,-,-,-,+,+,+,18.36861976,-1.674261157
16,Shania Twain,In My Car (I'll Be The Driver),+,+,+,+,-,=,+,+,-,+,+,+,0.158229647,14.02641815
17,GOT7,RUN AWAY,+,+,+,=,-,=,+,-,-,-,+,+,29.87314457,2.863564876
18,Drowning Pool,Reminded,+,+,+,=,-,=,+,-,+,+,+,+,20.23018584,-0.49679107
19,Lauren Alaina,Ladies In The '90s,=,+,+,+,-,=,+,-,-,+,-,+,-15.72744755,-18.46716238
20,Aaron Carter,I Want Candy,+,+,+,=,-,=,+,-,+,-,+,+,-4.172472356,-6.662480749
21,Lonestar,No News,+,+,+,=,-,=,-,+,-,-,+,+,5.819109202,1.698739534
22,f(x),Boom Bang Boom,+,+,+,+,-,=,+,-,+,-,+,+,5.938460439,-14.49253464
23,Swift,Unbelievable,-,+,+,=,-,=,+,-,+,+,+,+,-18.94565898,-9.36933654
24,DMX,Y'all Niggaz,-,+,+,+,-,=,+,-,-,+,+,+,-17.72506829,-18.6219429
25,The Suicide Machines,Empty Time,+,+,+,+,-,=,+,-,+,+,+,+,0.572965673,-19.69338418
26,The Fratellis,Everybody Knows You Cried Last Night,+,+,+,+,-,=,+,-,-,-,+,+,12.62687606,-11.67228618
27,ThalÃ­a,Garabato Colorado,+,+,+,+,-,=,-,+,-,+,+,+,-6.999164766,7.119584239
28,Alex Sensation,La Calle,+,+,+,+,-,=,+,+,-,-,+,+,-11.52420372,-19.75057525
29,Jonathan McReynolds,Oh!,+,+,+,+,-,=,+,+,-,+,+,+,2.387280346,12.42528281
30,Mandy Moore,Love Shot,+,+,+,+,-,=,-,-,+,-,+,+,-4.241941117,-13.78250978
31,Gwen Stefani,Hollaback Girl - Hollatronix Remix by Diplo,+,+,+,+,-,=,+,+,+,-,+,+,-0.452442102,11.01367677
32,Plain White T's,Lazy Day Afternoon,+,+,+,=,-,=,-,-,-,+,+,+,2.309096437,-2.277190214
33,Jessie J,Mamma Knows Best,+,+,-,+,-,=,+,+,-,+,+,+,-16.74941484,-18.37168636
34,DMX,The Prayer V,+,+,+,+,-,=,+,-,-,-,+,+,-0.711175942,-17.60632521
35,Sara Evans,Coalmine,+,+,+,=,-,=,+,-,+,+,-,+,5.575135969,-4.093499853
36,Brooks & Dunn,Boot Scootin' Boogie,+,+,+,+,-,=,+,+,-,+,+,+,-17.78168738,12.38823901
37,Eli Young Band,Your Last Broken Heart,+,+,+,+,-,=,-,-,+,+,+,+,7.313429444,-17.2741322
38,Toby Keith,Who's Your Daddy?,+,+,+,+,-,=,+,+,+,-,+,+,26.39471336,13.93898258
39,Kanye West,Diamonds From Sierra Leone - Bonus Track,+,+,+,+,-,=,+,+,-,+,-,+,3.476523675,-18.76975315
40,Bullet For My Valentine,Last to Know,+,-,+,+,-,=,+,-,+,+,+,+,9.034727607,-15.0256365
41,A*Teens,I Promised Myself - The Attic Remix,+,+,+,+,-,=,+,-,+,-,+,+,-13.49273632,10.46410917
42,We The Kings,Love Again,+,+,+,+,-,=,+,-,-,+,+,+,-1.572474522,11.85461869
43,Plain White T's,Land Of The Living,+,+,+,+,-,=,+,-,-,-,+,+,-0.450169511,10.99428184
44,Raven-SymonÂ¿,Double Dutch Bus,+,+,+,=,-,=,-,-,-,+,+,+,-9.898225324,-1.498869954
45,(Hed) P.E.,Whitehouse,+,+,+,+,-,=,+,-,-,+,+,+,-12.46194667,-20.29037214
46,The Chainsmokers,Somebody - Fluencee Remix,+,+,+,=,-,=,+,-,-,-,+,+,-2.454931641,-4.393376479
47,CÃ©line Dion,One Heart,+,+,+,=,-,=,-,-,-,+,+,+,16.91905303,1.671301144
48,David Bowie,The Next Day,+,+,+,+,-,=,+,-,-,+,+,+,14.07834187,7.906749921
49,Foo Fighters,Make a Bet,+,+,+,+,-,=,-,-,+,+,+,+,0.653538999,10.27727632
50,The Temptations,(Every Time I Turn Around) Back In Love Again,+,+,+,=,-,=,+,+,+,-,+,+,-5.034151997,-7.77322088
51,Ashley Tisdale,Switch,+,+,+,=,-,=,+,-,-,+,+,+,4.76095527,-5.561785528
52,Descendents,Testosterone,+,+,+,+,-,=,+,-,+,+,+,+,4.870307527,-14.04001617
53,Leona Lewis,Naked,+,+,+,=,-,=,-,-,-,-,-,+,5.613731516,-4.383249682
54,Big D and the Kids Table,5 Kids Down,+,+,+,=,-,=,+,-,+,-,+,+,-7.509260954,-4.313913528
55,Michael Jackson,Remember the Time,+,+,+,=,-,=,+,+,+,-,+,+,30.79736178,-4.133820415
56,Set It Off,Different Songs,+,+,+,+,-,=,-,-,-,-,+,+,23.33824857,14.17224521
57,Tony Christie,Is This The Way To Amarillo,+,+,+,+,-,=,-,-,-,-,+,+,25.66679962,19.45624962
58,Wang Chung,Everybody Have Fun Tonight,+,+,+,+,-,=,-,-,+,-,+,+,-10.5913348,11.40860104
59,YELLOW MAGIC ORCHESTRA,LIMBO,+,+,+,+,-,=,+,+,+,+,+,+,-7.97852331,6.891018589
60,Shakira,Spy (feat. Wyclef Jean),+,+,+,=,-,=,+,+,+,-,+,+,13.152163,-0.367245233
61,SEVENTEEN,20 - Japanese ver.,+,+,+,+,-,=,+,+,-,-,+,+,21.66925617,-11.39686867
62,The Format,The First Single (You Know Me),+,+,+,+,-,=,+,-,-,-,+,+,-20.34701676,8.902536918
63,Steve Grimmett,Hair Of The Dog,-,+,+,+,-,=,-,-,+,-,+,+,-23.43992731,9.403277311
64,Art vs Science,A.I.M. Fire!,+,+,+,+,-,=,-,-,+,+,+,+,-9.234635526,8.774537882
65,Toby Keith,Country Comes To Town,+,+,+,+,-,=,+,-,-,-,+,+,13.84583803,9.668344897
