,artist,song_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
0,Guns N' Roses,Welcome To The Jungle,=,=,=,=,=,=,=,=,=,=,=,-16.559917079557444,57.87081702959444
1,Iced Earth,Im-Ho-Tep,-,+,+,=,-,+,-,+,-,-,+,-6.384823734057005,6.76739443397736
2,L.A. Guns,I'll Be There,-,+,+,=,-,-,-,+,-,-,+,3.3978943102784243,-13.392485800372675
3,Kix,"Blow My Fuse - Demo Version, 9/5/86",-,+,+,=,-,+,+,+,-,+,+,1.9819298720513678,-13.770099286568732
4,The Damned,Dr Jekyll and Mr Hyde,-,+,+,+,-,-,-,-,+,+,+,9.492039100231443,11.000303949806028
5,David Bowie,What's Really Happening?,-,+,+,+,-,-,-,+,+,+,+,-15.530121775236308,-10.160243030385105
6,Sister Machine Gun,Torque,-,+,+,+,-,+,-,+,+,+,+,-9.910286679355504,-19.01101794501984
7,Marc Vision,Time Gate - Update,-,+,+,+,-,+,+,+,-,+,+,12.586800997319724,1.4765037773566687
8,The Human League,All I Ever Wanted - The Vanity Case Instrumental Mix,-,+,+,+,-,-,-,+,-,+,+,16.36142393970772,-8.901618665767868
9,Jean-Michel Jarre,"The Heart of Noise, Pt. 2",-,+,+,=,-,-,-,+,+,-,+,-3.153272521001167,-5.82531488479807
10,Billy Idol,Don't Need A Gun - Single Edit / Remastered,-,+,+,+,-,-,+,-,+,+,+,12.22312761340262,11.728259138985607
11,Dead Kennedys,Too Drunk to Fuck - Live at Alabama Halle,-,-,+,+,-,+,-,+,+,+,+,17.618693025882635,-4.427581845545464
12,The Cult,Go West,-,+,+,+,-,+,-,-,+,+,+,9.934936642842988,10.083311630244582
13,Moon Logic Project,Last Sunset,-,+,+,+,-,-,-,+,-,+,+,17.387459091239695,-12.768414343281972
14,Ministry,Breathe - Live,-,+,+,=,-,+,-,+,+,-,+,1.0421109694013717,-3.671243641292328
15,The Who,Do You Think It’s Alright? - Live,-,+,+,+,-,+,+,-,+,+,+,18.463093051456497,-12.481090610633853
16,(Hed) P.E.,Serpent Boy,-,+,+,+,-,+,-,-,-,+,+,-30.508591459914978,-10.012922450269375
17,Nickel Creek,Ode to a Butterfly,-,+,+,+,-,-,+,+,+,+,+,17.93423118555617,-11.587828647712575
18,White Lies,Black Song,-,-,+,=,-,-,-,+,-,+,+,-0.7169145269438701,12.41832457260821
19,The Human League,All I Ever Wanted - The Das Kompressor Vanity Case Mix,-,+,+,+,-,-,-,-,-,+,+,15.831663843294796,-6.972943290422332
20,Whipping Boy,When We Were Young,-,+,+,+,-,-,-,+,-,+,+,-11.723889385318222,-9.14453470187203
21,Stan Bush,The Touch (Power Mix),-,+,+,+,-,+,+,-,-,+,+,-14.89342320735007,-0.6749835852978913
22,Buzzcocks,A Different Kind Of Tension,-,+,+,+,-,+,-,-,-,+,+,14.258178384681193,-4.287698272545106
23,Silverchair,Madman - Vocal Mix,-,+,+,+,-,+,-,+,+,+,+,13.370575144641537,-7.629249611462152
24,Pavement,"Fame Throwa (Live Brixton Academy, London, December 14, 1992)",-,+,+,+,-,+,-,-,-,+,+,-16.476505538512257,-13.516806706335023
25,Miguel Migs,Life feat. Half Pint,-,+,+,=,-,+,-,-,-,+,+,2.5083436386779185,-11.560015090269506
26,Otik,Four Feet,-,+,+,=,-,+,+,-,-,-,+,-5.0938585665565395,24.70540702996993
27,John Lennon,Attica State - Remastered 2010,-,+,+,+,-,-,+,-,+,+,+,10.10659607738089,10.12902761097555
28,Slayer,Sex. Murder. Art.,-,+,+,+,-,+,-,-,-,-,+,-18.65711962780959,4.5309832742553855
29,Alice Cooper,Lost in America,-,+,+,+,-,+,+,-,-,+,+,8.257534682539648,18.95115258281733
30,Crystal Castles,Enth,-,+,+,=,-,+,-,-,-,-,+,-4.061691556283126,24.9813959631472
31,Papadosio,"Anima Mundi - Live at the National, Richmond, VA, 4/14/19",-,+,+,+,-,+,+,+,+,+,+,18.59029286641038,-9.342753558390218
32,Marshall Crenshaw,Face Of Fashion,-,+,+,+,-,-,+,-,+,+,+,-10.052306132943453,-18.013444934629558
33,Twisted Sister,"Sin After Sin - Live at the Marquee, London, UK, 3/5/1983",-,+,+,+,-,+,-,-,+,-,+,-11.644500796309538,-15.332905683864071
34,New York Dolls,You Can't Put Your Arms Around a Memory - Live,-,+,+,+,-,+,-,-,+,+,+,-12.74609856079234,-9.417583608132604
35,Killing Joke,Sun Goes Down - 2005 Digital Remaster,-,+,+,+,-,+,-,-,+,+,+,16.58798062419756,-8.841391815824766
36,T. Rex,20th Century Boy (Master Version with False Start),-,+,+,+,-,-,+,-,+,+,+,7.287227420337559,18.691762983773565
37,Tangerine Dream,Logos 2014,-,+,+,=,-,-,+,-,-,+,+,-0.4982393909501729,-4.081605346681865
38,Carmine Appice,My Own Advice,-,+,+,=,-,+,-,+,+,+,+,6.333496370482553,-14.679610728983468
39,Danger Danger,Six Million Dollar Man,-,+,+,+,-,+,-,-,+,+,+,-15.954799679451146,-15.447538935759436
40,Dio,Give Her the Gun - 2016 Remaster,-,+,+,=,-,-,+,-,-,+,+,2.4711136511277823,-15.70955846849409
41,Dizgo,Cool Blue Mellow,-,+,+,+,-,-,+,+,+,-,+,-12.81132604130591,-12.539349729211724
42,The Fixx,In Suspense - Live,-,+,+,=,-,-,+,-,+,+,+,-1.1725048182734563,-11.506286591640114
43,Cinderella,Bad Seamstress Blues / Fallin' Apart At The Seams,-,+,+,+,-,-,-,-,-,+,+,-11.12213958811298,-8.984387395701425
44,Dio,Stay Out Of My Mind,-,+,+,=,-,-,-,-,+,-,+,1.8451483586643425,-0.352315416182706
45,Bruce Dickinson,I Will Not Accept the Truth,-,+,+,+,-,-,-,-,-,+,+,13.163959085963414,0.5956379648764742
46,blink-182,The Country Song - Live/1999,-,+,+,+,-,-,-,-,+,-,+,-20.83405777633,12.230074275812399
47,The Cure,Bloodflowers,-,+,+,+,-,-,-,-,-,+,+,-35.767858629971144,-1.0657253803252693
48,Refused,Refused Are Fucking Dead,-,+,+,+,-,+,-,+,+,+,+,-20.60577748611196,10.220815237315186
49,One Day Hero,Momentuum (MOGUAI Remix) - AFTR:HRS Mixcut,-,+,+,=,-,+,+,-,-,-,+,-5.050963475945142,12.298407866524908
50,Faith No More,Take This Bottle - 2016 Remaster,-,+,+,+,-,-,+,-,+,+,+,-19.87067407495296,12.486794424699731
51,Alexisonfire,A Dagger Through the Heart of St. Angeles,-,+,+,+,-,+,-,+,-,+,+,-29.838147318747627,2.5846432918674513
52,Genesis,Dance on a Volcano - 2007 Remaster,-,+,+,=,-,+,-,-,+,+,+,-2.7976230436764165,2.548544175707727
53,Sham 69,Information Libertaire,-,+,+,+,-,-,-,-,+,+,+,19.41989251696203,-11.191321561948085
54,Kreator,Karmic Wheel - 2018 - Remaster,-,+,+,+,-,+,-,-,+,-,+,-17.712446200121196,-7.636524544439637
55,The Kills,Hard Habit To Break,-,+,+,+,-,+,+,+,-,+,+,8.623697499012554,20.08332474625961
56,Jam On Zed,Into The Woods - Original Mix,-,+,+,+,-,-,-,+,-,+,+,13.950021246099908,-7.475178215508053
57,Damir Kolakovic,Fairy Tale Forest,-,+,-,=,-,-,+,-,+,+,+,0.05039474738259365,-17.389711558699023
58,a-ha,I Call Your Name - Live on NRK,-,+,+,+,-,-,-,-,-,+,+,-16.54703606668085,-9.395421998836243
59,Black Sabbath,Back Street Kids - 2013 Remaster,-,+,+,+,-,+,+,-,+,+,+,8.028306627314082,14.750007639440527
60,Dancing DJs,Amazed - KB Project Remix,-,+,=,+,-,+,-,-,-,+,+,23.890270248058773,-9.998745638348481
61,Tiësto,Just Be - Radio Edit,-,+,+,+,-,-,-,-,-,-,+,4.444683149221007,24.14373734129711
62,Ball Park Music,Nihilist Party Anthem,-,+,+,+,-,-,-,-,-,+,+,-14.568198947787119,-14.042738123907238
63,Generationals,Beggars in the House of Plenty,-,+,+,+,-,-,-,-,+,+,+,-12.260392532869098,-3.078357366107153
64,White Zombie,"Electric Head, Pt. 2 - Sexational After Dark Mix (Edited)",-,+,+,=,-,+,-,+,+,+,+,-1.3986494609586622,-12.602565698699848
65,Bruce Dickinson,Laughing In the Hiding Bush - Live At The Marquee,-,-,+,+,-,+,-,-,+,+,+,-12.285641310701758,-12.399745709345742
66,James Fortune,God Can,-,+,+,+,-,-,+,-,+,+,+,-29.276851982136492,-24.173750950949383
67,Slowdive,Slomo,+,-,+,+,-,-,+,-,-,+,+,-25.81353555244035,31.601068377737256
68,a-ha,Touchy!,-,+,+,+,-,+,+,-,+,+,+,-16.213174539613835,-11.376565362079095
69,David Lee Roth,Big Train - 2007 Remaster,-,+,+,+,-,-,-,-,+,+,+,-18.242179108823073,-1.5682124086193205
70,Faith No More,R N' R,-,+,+,+,-,+,+,-,-,+,+,15.249376456590392,-11.26756824573381
71,Umphrey's McGee,Out of Order,-,+,+,+,-,-,+,-,+,+,+,-16.80456012670107,-7.39444630409052
72,Limp Bizkit,Nobody Like You,-,+,+,+,-,-,-,-,-,+,+,-28.89078712233468,-5.441628297754582
73,Trey Songz,What's Best for You,-,+,+,+,-,+,-,-,-,+,+,-31.941768569389435,-15.569576523552511
74,Passion Pit,The Reeling - Shuttle Remix,-,+,+,=,-,+,-,+,-,-,+,5.887015793110083,-8.589021505394207
75,Black Sabbath,Turn to Stone - 2004 Remaster,-,+,+,=,-,+,-,-,-,+,+,-2.1744750966092834,0.645048911323513
76,Danzig,Black Laden Crown,-,+,+,+,-,-,-,-,-,+,+,13.110444122521645,10.930777049386634
77,Phil Collins,Survivors - 2015 Remastered,-,+,+,=,-,-,+,-,-,+,+,-1.6299080823735648,7.000699767473068
78,Phil Collins,Survivors - 2015 Remaster,-,+,+,=,-,-,+,-,-,+,+,-0.8571084428888465,4.101951898980468
79,Skid Row,Rattlesnake Shake - 2016 Remaster,-,+,+,+,-,-,-,-,-,+,+,14.112565434645141,11.197227511700047
80,James Fortune,God Can featuring Micah Stampley,-,+,+,+,-,-,+,-,+,+,+,-30.613707330605596,-19.355694760283576
81,Accept,Sodom & Gomorra,-,-,+,+,-,+,-,+,+,+,+,50.028969242195764,13.52772109318348
82,Coldplay,Champion Of The World,-,+,-,+,-,-,-,-,-,-,+,-19.357373800726197,11.588850301681024
83,Frightened Rabbit,Woke Up Hurting,-,+,+,+,-,-,-,-,-,+,+,-16.106416420261763,11.420783773989411
84,Honeymoon Suite,Piano Solo,-,+,+,+,-,-,+,-,+,+,+,-25.372863494723866,-14.853265266444721
85,Iced Earth,A Gift or a Curse?,-,+,+,=,-,-,+,-,+,+,+,1.0564212157348785,1.5072751433075524
86,VÉRITÉ,Nothing - LCAW Remix,-,+,+,=,-,+,+,-,+,+,+,-1.9870870367537063,-2.40904202146436
87,Slightly Stoopid,Zero Tolerance,-,+,+,+,-,+,-,-,+,+,+,16.118632162114825,0.3477340576518273
88,The Cramps,Get off the Road,-,+,+,+,-,-,+,-,-,+,+,14.049324853942048,3.9361589454494696
89,Kings Of Tomorrow,Civil Unrest,-,+,+,=,-,-,+,-,-,-,+,3.729102928382821,-12.268813319221437
90,The Space Brothers,Forgiven (I Feel Your Love) - Radio Edit,-,+,+,+,-,-,-,-,-,+,+,11.300430567757672,-1.971636785869429
91,Hilary Weeks,That's Who I Am,-,+,+,+,-,-,+,-,-,+,+,-16.681276427542077,-2.1868696410346335
92,Alice Cooper,Time To Kill,-,+,+,+,-,+,+,-,+,+,+,11.795019808431652,-12.189060480161132
93,Foghat,Fool for the City,-,+,+,+,-,+,+,-,-,+,+,19.215429280348275,-12.280389984619438
94,Guns N' Roses,Don't Cry - Alternate Lyrics,+,+,-,=,-,-,-,-,-,+,+,-8.780252352489276,33.03752337434448
95,James,Shooting My Mouth Off,-,-,+,+,-,-,+,-,-,-,+,-9.369123605338933,-12.656508841720662
