artist,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
Rick Astley,Never Gonna Give You Up,=,=,=,=,=,=,=,=,=,=,=,=,7.413049832928972,10.100693980733343
Lynyrd Skynyrd,Sweet Home Alabama,--,=,=,=,--,=,-,=,++,=,=,=,5.3926274922397015,-16.556387286698524
Lynyrd Skynyrd,Sweet Home Alabama,--,=,=,=,--,=,-,=,++,=,=,=,4.764682149020571,-17.334641566851275
moe.,Blond Hair And Blue Eyes,-,=,=,=,--,=,-,--,++,=,-,=,6.695056570023544,-12.464967354979208
Linda Eder,Never Dance,--,=,=,=,--,=,=,+,--,+,=,=,-8.111282315791831,-8.210014098647395
The Corrs,Somebody for Someone,=,=,=,=,--,=,=,=,++,+,=,=,17.441974441450814,-1.865074073588675
Toby Keith,Too Far This Time,=,=,=,=,--,=,=,-,=,+,=,=,17.463377264407033,-1.8825302749478454
Big D and the Kids Table,"Stop, Look & Listen (Shake Life Up)",-,=,=,=,--,=,=,=,++,-,=,=,7.061113558826822,-11.474953135876623
Pressure,Money Honey,-,=,=,=,--,=,=,--,++,=,-,=,11.413042026502682,-7.277794074533084
James Morrison,Right Here,=,=,=,=,--,=,=,=,--,=,-,=,21.62632749129029,6.326093145187991
Belinda Carlisle,Love Revolution,--,=,=,=,--,=,=,++,+,-,=,=,-18.921606227253697,-0.7560572199413284
Slum Village,Conant Gardens - Bonus,--,=,=,=,--,=,++,-,--,=,=,=,2.185853829263169,-19.107431523346825
Gloria Estefan,So Good,--,=,=,=,--,=,++,=,--,=,=,=,6.272688122578171,-17.2678537002269
Wiz Khalifa,"Y U Mad (feat. Megan Thee Stallion, Ty Dolla $ign & Mustard)",=,=,-,=,--,=,=,=,--,=,-,=,15.116437604566983,-6.4141669675194635
Ultravox,Rise,--,=,=,=,--,=,++,-,++,=,=,=,-18.841723024799435,1.7515990141955378
La Arrolladora Banda El Limón De Rene Camacho,Se Me Canso El Corazon,++,=,=,=,--,=,-,=,--,-,=,=,26.82962919656301,31.6953824314531
Helloween,Future World,++,-,=,=,--,=,+,--,--,=,-,=,33.8712145694554,18.28643039524568
Palaye Royale,Hang on to Yourself,++,=,=,=,--,=,=,--,++,=,-,=,35.015474586214495,21.22002358812976
Straight No Chaser,Up on the Housetop,--,=,=,=,--,=,=,-,++,-,-,=,1.1115404045832202,-22.095982445233297
Suga Free,Peace of Mind (feat. Debra Edwards & Cody Elles),--,=,=,=,--,=,++,=,--,=,=,=,-6.916444639264648,-6.604307264824043
Warrant,Uncle Tom's Cabin,--,=,=,=,--,=,++,--,++,-,-,=,1.6158297344250756,-17.360087087377785
James Morrison,Right Here,-,=,=,=,--,=,=,=,--,=,-,=,11.570136978183546,-6.118621575222077
Buck-O-Nine,She's Fat,--,=,=,=,--,=,+,--,++,++,=,=,-16.45790843846253,-1.4624415180344115
Gary Allan,Hangover Tonight,+,=,=,=,--,=,=,--,--,=,=,=,22.50283378779228,10.760956880840654
Kylie Minogue,Time Will Pass You By - Paul Masterson Mix,--,=,=,=,--,=,=,--,++,=,-,=,-21.070315147235636,-1.5899948717395747
half•alive,arrow,++,=,-,=,--,=,++,--,++,=,=,=,36.672575960945515,25.023831987266174
Paulina Rubio,El Ultimo Adios,=,-,=,=,--,=,+,--,--,=,-,=,-8.840353363469355,12.954934491204055
The Band,Don’t Do it - Live At The Academy Of Music / 1971 / Soundboard Mix,-,=,=,=,--,=,++,++,++,+,-,=,8.496630045905448,-8.778070655423413
David Bowie,Rebel Rebel - 1999 Remaster,--,=,=,=,--,=,=,--,--,++,=,=,-21.013081268533085,-4.208842197763226
Keith Urban,God's Been Good To Me,+,=,=,=,--,=,=,-,-,=,=,=,27.541666095056918,10.544156261198198
Marianne Faithfull,The Price Of Love,--,=,=,=,--,=,=,=,++,+,=,=,-19.664631619125288,-4.013018795262091
Marianne Faithfull,The Price of Love,--,=,=,=,--,=,=,=,++,+,=,=,-20.282820229612057,-4.799236831738484
Big Star,Jesus Christ,-,=,=,=,--,=,-,=,++,++,=,=,10.032458453749094,-4.87593774209179
The Cars,Let's Go - 2016 Remaster,-,=,=,=,--,=,=,--,++,-,-,=,-13.677644645526884,2.7202256054384746
Roxy Music,The Bogus Man - Live,+,=,=,=,--,=,=,=,++,-,=,=,15.059848333406473,19.350017535734327
half•alive,arrow,+,=,-,=,--,=,++,--,++,=,=,=,27.866295468842416,14.140457166196956
The Kinks,Acute Schizophrenia Paranoia Blues,--,=,=,=,--,=,=,-,=,++,=,=,6.88048259992577,-15.187178160698661
Wang Chung,Everybody Have Fun Tonight,--,=,=,=,--,=,=,--,++,=,-,=,-23.650863267151916,-2.075253369551883
Little Texas,Long Way Down,--,=,=,=,--,=,=,-,--,=,=,=,-27.188847278789343,8.499701631028636
Little Texas,Long Way Down,--,=,=,=,--,=,=,-,--,=,=,=,-27.8222121171291,7.725829560373112
Kenny Lynch,Misery,--,=,=,=,--,=,=,--,--,-,=,=,-23.28830961945978,-2.368646561571435
Bryan Adams,Not Guilty,=,=,=,=,--,=,=,-,--,=,-,=,-6.346793245781644,9.652459017688152
Talk Show,End of the World,--,=,=,=,--,=,=,=,-,=,=,=,-32.366110035879565,6.256253685233785
Train,Shake Up Christmas - Xmas Anthem,-,=,=,=,--,=,=,--,--,++,=,=,10.184421123069402,-7.570935932152777
Talk Show,Behind,--,=,=,=,--,=,=,=,-,=,=,=,-32.997152226423445,5.48050352092578
The Searchers,Money (That's What I Want) - Mono,--,=,=,=,--,=,=,--,++,-,=,=,-13.75205068437592,1.4937780018524374
